content,contentTranslation,languageInEnglish,preprocessed,translated,detected_lang,detected_conf
Euce (:Euche) is(sa) (:ipsa),she is the same,Latin,euche issa ipsa,she is the same,,
"&#12296;:stria 11&#12297;
((signum))

&#12296;:stria 13&#12297;
V 

&#12296;:stria 14&#12297;
M",(Individual letters),Latin,", signum, , , v , , , m",", sign, , , v , , , m",,
"Dorcas
P&#818;r&#818;i&#818;m&#818;a&#818;","Dorcas, Prima",Latin,"dorcas, p̲r̲i̲m̲a̲","Dorcas, p̲r̲i̲m̲a̲",,
"((:instrumentum gladiatorum, galea))

S++
sumit
AIVNTI  CV

((:instrumentum gladiatorum, thorax)) 
","gladiator's instrument, helmet, s, takes, aivnti cv,",Latin,"instrumentum gladiatorum, galea, , s, sumit, aivnti cv, , instrumentum gladiatorum, thorax , ","gladiator's instrument, helmet, s, takes, aivnti cv,",,
con[ti]quere (:conticuere) omn(es),All fell silent...,Latin,conticonticuere omnes,all contiguous,,
Venimus hoc (:huc) cupidi. Scribitt (:scribit) Cornelius Martialis,We came here desiring...,Latin,venimus huc cupidi. scribit cornelius martialis,we came here eager. writes Cornelius Martial,,
Crescens,Crescens,Latin,crescens,growing,,
"[---]n ore ap(?)[---]
[---]sumat aut ea va[---]
[---]sumpti opus est a[---]
[---]udam eu ei(?)[---]VDAI[---]","un ore ap, autsumat autsumat ea vaeaat, quesumptua need a, secuudam eu ei^vdai.",Latin,"un ore ap, autsumat aut ea vaeat, quaesumpti opus est a, secuudam eu ei^vdai.","un ore ap, autsumat autsumat ea vaeaat, quesumptua need a, secuudam eu ei^vdai.",,
"Caesia, sei (:si) n[---]
sei (:si) parvom (:parvum) p[---]
es, bibe lude[---]
nec semper[---]","Caesia, if n., if you are a small p., drink playfully, and not always.",Latin,"caesia, si n., si parvum p., es, bibe ludediu, nec semper.","Caesia, if n., if you are a small p., drink playfully, and not always.",,
Restituta tuis chor&#7865;&#7883;[s],restored to your works,Latin,restituta tuis chorẹịs,restored to your works,,
"Primi=
g&#803;en=
us (:Primigenius)

&#12296;:infra&#12297;
((:navis))

&#12296;:infra&#12297;
((:gladiator cum scuto longo, galea, et gladio))",Primigenius,Latin,"primi=, g̣en=, primigenius, , , navis, , , gladiator cum scuto longo, galea, et gladio","primi=, g̣en=, firstborn, , , ship, , , gladiator with long shield, helmet, and sword",,
Conticuere om(nes),let them all come together,Latin,conticuere omnes,let them all come together,,
&#7945;r&#960;&#959;&#954;r&#8118;(&#962;) (:&#7945;&#961;&#960;&#959;&#954;&#961;&#8118;&#962;),,Latin/Greek,ἁrποκrᾶς ἁρποκρᾶς,,,
"Successa vern(a) a(ssibus) V
bellis moribus
((:corona)) A P ((:palma))","Successa, with nice manners, ?",Latin,"successa verna assibus v, bellis moribus, corona a p palma","success in the spring with aces v, warlike manners, crown a p palm",,
"&#12296;:columna I&#12297;
Lite, es dypundi (:dupundi). 

&#12296;:columna II&#12297;
Lite, 
aeris a(ssis)",", suit, you are a fool. , , , suit, , brass assis",Latin,", lite, es dupundi. , , , lite, , aeris assis",", suit, you are a fool. , , , suit, , brass assis",,
"Froto (:Fronto) Planì
&#7735;ing&#803;it cun=
&#7751;um","fronto planì, ḷing̣it cun=, ṇum",Latin,"fronto planì, ḷing̣it cun=, ṇum","fronto planì, ḷing̣it cun=, ṇum",,
I&#818;NT&#818;E&#818;S,(series of letters),Latin,i̲nt̲e̲s,i̲nt̲e̲s,,
&#12296;:textus non legitur&#12297;,(Incomprehensible series of characters),Latin,,,,
"&#12296;:in tabella ansata&#12297;
Persi",Of Persius(?) (following the conventions of bronze stamps with names in the genitive),Latin,", persi",", lost",,
"Arma meis atsueta (:adsueta)
umeris tibi debita
ponam, si mea confir=
mas prospera vota
Venus. Syntrophus 
&#12296;:vacat&#12297; auget.","I will put (down) the weapons accustomed to my shoulders, (which are) owed to you, if you, favorable Venus, answer my prayers. --Syntrophus enhances/augments (this prayer)",Latin,"arma meis adsueta, umeris tibi debita, ponam, si mea confir=, mas prospera vota, venus. syntrophus , auget.","Accustomed to my arms, on your shoulders, I will place, if you trust me, good luck, good wishes. syntrophus, increases",,
"[Noct]ibus pervig[ilans totis ego propter a]morem
[se]i (:si) detur dei&#7807;[am] (:divam) [posse videre meam.]
[congla]cio s[ub sideribus, sed pectus] in aestost 
[---] huc [---]t","I stay awake all night because of love, if it is granted that my goddess can see mine.",Latin,"noctibus pervigilans totis ego propter amorem, sesi detur deiṿam divam posse videre meam., conglacio sub sideribus, sed pectus in aestost , et huc properant","I stay awake all night because of love, if it is granted that my goddess can see mine.",,
A(uli) Iuni,Of Aulus Iunius (?),Latin,auli iuni,the court of June,,
Virilio,(name?),Latin,virilio,virile,,
Urbanu&#770;s,Urbanus,Latin,urbanûs,urbanus,,
IIII,iii,Latin,iiii,iii,,
+VSICZ,(Incomprehensible series of characters),Latin,vsicz,vsicz,,
Acas&#818;t&#818;u&#818;s&#818;,Acastus,Latin,acas̲t̲u̲s̲,acas̲t̲u̲s̲,,
Valentis,of Valens,Latin,valentis,strong,,
IIIX&#923;FELIX,happy,Latin,iiixλfelix,happy,,
"Sex(tus) Decimius Rufus
milis (:miles) coh(ortis) V pr(aetorianae) ((centuria)) Martialis","the sixteenth red, a soldier of the fifth legion of the Praetorian military century",Latin,"sextus decimius rufus, miles cohortis v praetorianae centuria martialis","the sixteenth red, a soldier of the fifth legion of the Praetorian military century",,
"Sollemnes
ben&#7865; futues","solemn, good fun",Latin,"sollemnes, benẹ futues","solemn, good fun",,
Murtis (:Myrtis) felatris (:fellatrix),myrtle fellatrix,Latin,myrtis fellatrix,myrtle fellatrix,,
"Lucrio
Amasuc+++
Sarnesis (:Sarnensis)","profit, love, Sarnensis",Latin,"lucrio, amasuc, sarnensis","profit, love, Sarnensis",,
"Victor 
&#7717;&#7841;ec so&#7771;+","victor, this is his sister",Latin,"victor , ḥạec soṛ","victor, this is his sister",,
Musicus qu[o]d bibere optat +lig+++e+ +,what the musician chooses to drink,Latin,musicus quod bibere optat lige ,what the musician chooses to drink,,
"MVLIIRIANVS
VA  &#12296;:vacat&#12297; HVS
+VLLV
",(Incomprehensible series of letters),Latin,"mvliirianvs, va  hvs, vllv, ","mvliirianvs, va hvs, vllv,",,
"Staphìlus hic cum 
Quie&#803;t&#803;a&#803;","staphìlus here with , quiẹṭạ",Latin,"staphìlus hic cum , quiẹṭạ","staphìlus here with , quiẹṭạ",,
Suavis,"Suavis, i.e. a name (Sweet)",Latin,suavis,sweet,,
"Multa mihi cura&#770;e cum +esserit (:presserit?) artus
has ego mancinas stagna refusa dabo","When the weight of concern weighs down my limbs
I use this left hand to let the deep waters overflow",Latin,"multa mihi curâe cum presserit artus, has ego mancinas stagna refusa dabo","I have many cares, when the frame is pressed, I will give these tinned hands",,
Syneros,brother-in-law,Latin,syneros,brother-in-law,,
"Caius cum Mysine
&#12314;+10+&#7806;&#12315;
etsi cum qua miserus","gaius with mysine, even with whom he was miserable",Latin,"caius cum mysine, , etsi cum qua miserus","gaius with mysine, even with whom he was miserable",,
"Anteros
EN (:bene?) hic",Anteros (was?) here,Latin,"anteros, bene hic","the front, well here",,
"++++
Chloe v&#770;&#818;a&#818;(le)","Bye, Chloe",Latin,", chloe v̲̂a̲le",", chloe v̲̂a̲le",,
CHA,CHA,Latin,cha,cha,,
Roma,Rome,Latin,roma,Roma,,
C+++,(Incomprehensible series of characters),Latin,c,c,,
"Idibus Iulis
inaures postas (:positas) ad Faustilla(m)
pro ((denarium)) II usura(m) deduxit aeris a(ssem)
ex sum(ma?) XXX","On the Ides of July earrings were deposited with Faustilla (as collateral). For two denarii she is charging one copper as (per month, as interest). From a total? 30.",Latin,"idibus iulis, inaures positas ad faustillam, pro denarium ii usuram deduxit aeris assem, ex summa xxx","On the same day, having placed the earrings on the pedestal, for a penny he brought down the interest of the brass, from the sum of 30",,
Ìas Magno salute(m),A great greeting,Latin,ìas magno salutem,A great greeting,,
"Victor
valea (:valeas) qui bene
futues (:futuis)","winner, you are good, you fools",Latin,"victor, valeas qui bene, futuis","winner, you are good, you fools",,
"&#7882;&#7909;&#7751;(iae) P&#803;rim&#7841;&#7865;
","ịụṇiae p̣rimẺẹ,",Latin,"ịụṇiae p̣rimạẹ, ","ịụṇiae p̣rimẺẹ,",,
Amantes &#7806;&#7788;&#7882;&#7882;,lovers ṿṭịị,Latin,amantes ṿṭịị,lovers ṿṭịị,,
clim,climate,Latin,clim,climate,,
"O cu&#818;r&#818;a&#818;t&#818;o&#818;res Nuelas et Barnaee ne vos esset&#818;is&#818; vi&#818;re&#818;i&#818; (:viri) b&#818;o&#818;n&#818;e&#818;i&#818; (:boni) s&#818;e&#818;i&#818; (:si) c&#818;ommea&#818;tum O&#818;G&#818;I&#818;N&#818;T&#818;I&#818;T&#818;R&#818;A&#818;I&#818;[+1?+]+&#818;+&#818;
&#12296;:vacat&#12297; a&#818;d&#818; te&#818;mpus daretis na&#818;m semper&#818; n&#818;e&#818;g&#818;a&#818;t&#818;i&#818;s&#818; &#12296;:vacat&#12297; R&#818;E&#818;D&#818;X&#818;A&#818;E&#818; &#12296;:vacat&#12297; N&#818;
&#12296;:vacat&#12297; P&#818;a&#818;n&#818; ti&#818;bi&#818; [+2?+]D&#818;ECO et &#12296;:vacat&#12297; CA&#818;VDAN&#803;OS &#12296;:vacat&#12297; n&#818;u&#818;n&#818;[c] Q&#818;V&#818;[+1?+]M&#818;N&#818;E&#818; n&#818;u&#818;m&#818; +&#818;","Oh supervisors Nuelas and Barnaeus, you should have been good men. If supplies (incomprehensible series of letters) you were giving at the time. For you always deny (incomprehensible series of letters) Pan for you (incomprehensible series of letters) now (incomprehensible series of letters) whether",Latin,"o cu̲r̲a̲t̲o̲res nuelas et barnaee ne vos esset̲is̲ vi̲re̲i̲ viri b̲o̲n̲e̲i̲ boni s̲e̲i̲ si c̲ommea̲tum o̲g̲i̲n̲t̲i̲t̲r̲a̲i̲1̲̲, a̲d̲ te̲mpus daretis na̲m semper̲ n̲e̲g̲a̲t̲i̲s̲ r̲e̲d̲x̲a̲e̲ n̲, p̲a̲n̲ ti̲bi̲ 2d̲eco et ca̲vdaṇos n̲u̲n̲c q̲v̲1m̲n̲e̲ n̲u̲m̲ ̲","o cu̲r̲a̲t̲o̲res nuelas and barnaee so that you would be̲is̲ vi̲re̲i̲ men b̲o̲n̲e̲i̲ good s̲e̲i̲ if c̲ommea̲tum o̲g̲i̲n̲t̲i̲t̲r̲a̲i̲1̲̲, a̲d̲ te̲mpus will always give na̲m n̲g̲g̲a̲t̲i̲s̲ n̲e̲d̲x̲t̲a̲ ̲, p̲a̲n̲ ti̲bi̲ 2d̲eco and ca̲vdaṇos n̲u̲n̲c q̲v̲1m̲n̲e̲ n̲u̲m̲ ̲",,
Vidistiquo (:vidisti quo) Turnus equo q,you saw what turn you saw with the horse q,Latin,vidistiquo vidisti quo turnus equo q,you saw what turn you saw with the horse q,,
Cum LV&#7684;,with lvḅ,Latin,cum lvḅ,with lvḅ,,
Ianûariaes,January,Latin,ianûariaes,January,,
"Avete ûtres sumus
Cot (:quod) estis (a)ere voluimus
Quando venistis (a)ere exi(vi)mus","We are old bottles, because you are air we wanted, when you came we went out air",Latin,"avete ûtres sumus, quod estis aere voluimus, quando venistis aere exivimus","We are old bottles, because you are air we wanted, when you came we went out air",,
Elencia (:&#7960;&#955;&#949;&#947;&#967;&#943;&#945;),Elencia (i.e. a name),Latin,elencia ἐλεγχία,elencia ἐλεγχία,,
"P(ondo?) XXIV
PRI
Mopsus","A weight of (?) 24, PRI, Mopsus",Latin,"pondo xxiv, pri, mopsus","weighing xxiv, pri, mopsus",,
Acti Castresis (:Castrensis) va(le) Anicetia`ania´ne,acti castrensis farewell anicetia`ania´ne,Latin,acti castrensis vale anicetia`ania´ne,acti castrensis farewell anicetia`ania´ne,,
"XII K(alendas) Ian(uarias)
Primus Felix
XI K&#803;(alendas)
G(ermanus)
X K(alendas) Felix
IX K(alendas) Felix
IIX K(alendas)
G(ermanus)
VII K(alendas) II[- - -]
G(ermanus)","Twelve days before the Kalends of January, Primus Felix. Eleven days before the Kalends (of January), Germanus. Ten days before the Kalends (of January) Felix. Nine days before the Kalends (of January), Felix. Eight days before the Kalends (of January), Germanus. Seven days before the Kalends (of January?), Germanus",Latin,"xii kalendas ianuarias, primus felix, xi ḳalendas, germanus, x kalendas felix, ix kalendas felix, iix kalendas, germanus, vii kalendas iiidus, germanus","12th of January, the first happy, 11th of January, German, 10th of January, 9th of Felix, 9th of German, 7th of the third, German",,
Albanus cinaedus est,Albanus is a pervert,Latin,albanus cinaedus est,he is a black Albanian,,
((centuria)) Tironis&#818;,The century (unit) of Tiro,Latin,centuria tironis̲,a century of recruits̲,,
Methe Cominiaes Atellana amat Chrestum corde [si]t utreis que (:utrisque)  Venus Pompeiana propitia [e]t sem[per] concordes veivant (:vivant),"Methe, a slave of Cominia, from the town of Atella, loves Chrestus. May Pompeian Venus be propitious in her heart to them both and may they always live harmoniously.",Latin,methe cominiaes atellana amat chrestum corde sit utreis utrisque venus pompeiana propitia et semper concordes vivant,"methe cominiaes of atellana loves the crest in his heart, may both of them be propitiated and may they always live in harmony",,
"Voconius
Paca(tus)
vixillu(m) (:vexillum)","Voconius, Paca(tus), flag (?)",Latin,"voconius, pacatus, vixillum vexillum","a vociferous, peaceful, flag-bearer",,
"&#7770;&#7864;INERS
ìnquid","ṛṅiners, ìnquid",Latin,"ṛẹiners, ìnquid","ṛṅiners, ìnquid",,
Carm,song,Latin,carm,song,,
Restituta tuis choreis,restored to your duties,Latin,restituta tuis choreis,restored to your duties,,
"Tertiani
Hic h&#803;a&#803;b&#818;ita[r]unt (:habitaverunt)
Rufa ita vale quare bene felas (:fellas)","The men of the third legion were here. Farewell, Rufa because you suck well.",Latin,"tertiani, hic ḥạb̲itarhabitaverunt, rufa ita vale quare bene fellas","the Tertians, here dwelt ḥạb̲itar, red so farewell why good fellows",,
"&#12296;:stria 15&#12297;
Lib(eralis) 

&#12296;:stria 16&#12297;
Libera=
lis 
Liberalis 
venimus","Lib(eralis?), Liberalis, Liberalis, we came",Latin,", liberalis , , , libera=, lis , liberalis , venimus",", liberal, , , libera=, lis, liberal, we came",,
"Glagus
Gl","Glagus
Gl(agus)",Latin,"glagus, gl","Glagus, gl",,
"Theorus est Holconi &#12296;:servus&#12297; nec tamen Mazgaba,
+++[.]s est Holconi &#12296;:servus&#12297;, nec tamen [P]yrrichus","Theorus is Holconi, and yet Mazgaba is Holconi, and yet not Pyrrichus",Latin,"theorus est holconi nec tamen mazgaba,, .s est holconi , nec tamen pyrrichus","Theorus is Holconi, and yet Mazgaba is Holconi, and yet not Pyrrichus",,
"&#12296;:columna I=stria 4&#12297;
QID

&#12296;:columna II=stria 5&#12297;
DA

&#12296;:columna III=stria 6&#12297;
CI&#923;
X
A

&#12296;:columna IV=stria 9&#12297;
M
Q&#818;",(Individual letters),Latin,", qid, , , da, , , ciλ, x, a, , , m, q̲",", qid, , , da, , , ciλ, x, a, , , m, q̲",,
"Hic ego puellas multas
futui",I fucked many girls here,Latin,"hic ego puellas multas, futui",I fucked many girls here,,
((centuria)) Semproni,The century (unit) of Sempronius,Latin,centuria semproni,century,,
QVETI,(Series of letters),Latin,qveti,that's all,,
"&#12296;:stria 14&#12297;
&#7746;&#770;A 

&#12296;:stria 15&#12297; 
R 

&#12296;:stria 16&#12297; 
E","MA, R, E",Latin,", ṃ̂a , , , r , , , e",", ṃ̂a , , , r , , , e",,
"Aristo
Tosori (:Tonsori?)
","Aristo, to the barber",Latin,"aristo, tonsori, ","barber, barber",,
&#12296;:textus non legitur&#12297;,(Incomprehensible series of characters),Latin,,,,
Chl · oe · va,"Bye, Chloe",Latin,chl · oe · va,chl·oe·va,,
"Anthus
Cosini (:Cossini) &#12296;:servus&#12297;
LIHSTI
ATOR","Anthus, slave of Cosinius (?), (...other letters here...)",Latin,"anthus, cossini , lihsti, ator","anthus, cossini, lihsti, ator",,
Quovis,Wherever you wish,Latin,quovis,to anyone,,
Memor,memory,Latin,memor,memory,,
Roma,Rome,Latin,roma,Roma,,
VR,vr,Latin,vr,vr,,
Faustus,Faustus,Latin,faustus,lucky,,
"Epaga=
thus fututor
II &#12296;:vacat&#12297; C ((:centuria?))","epaga=, thus funtor, 2nd century",Latin,"epaga=, thus fututor, ii c centuria","epaga=, thus funtor, 2nd century",,
"Livius
Verus
X",Livius Verus 10,Latin,"livius, verus, x","light, true, x",,
III K(alendas) Mart(is) hic scr(ipsi),"3 days before the Kalends of March (=Feb. 27th), I wrote here",Latin,iii kalendas martis hic scripsi,I wrote here on Tuesday,,
"&#12296;:ad perpendiculum&#12297;
V&#770;BB",VBB,Latin,", v̂bb",", vbb",,
Ur(banus?),Ur(banus),Latin,urbanus,urbane,,
XVI,16,Latin,xvi,xvi,,
ALO,ALO,Latin,alo,hello,,
"Priscus caelator
Campano
gemmario
FEL (:feliciter)","an old engraver, a bellman, a jeweler, fortunately",Latin,"priscus caelator, campano, gemmario, feliciter","an old engraver, a bellman, a jeweler, fortunately",,
Va&#818;l&#818;(ens?),Val(ens?),Latin,va̲l̲ens,va̲l̲ent,,
"&#12296;:ad perpendiculum&#12297;
F&#803;l&#803;or&#803;u&#803;(s)",Florus (?),Latin,", f̣ḷoṛụs",", f̣ḷoṛụs",,
IIIII,5,Latin,iiiii,iiiii,,
&#12296;:textus non legitur&#12297;,(Incomprehensible series of characters),Latin,,,,
L A R,"LAR (or lar, the deity protecting the household)",Latin,l a r,l a r,,
IIXXXX&#803;X&#803;[+1?+]X&#803;XXxxx&#803;xxxXXXI,(series of numbers),Latin,iixxxx̣x̣1x̣xxxxx̣xxxxxxi,iixxxx̣x̣1x̣xxxxx̣xxxxxx,,
"Sumptus VIII
",Cost --- 8,Latin,"sumptus viii, ",cost 8,,
"Ser &#12296;:vacat&#12297; L
Amoni (:Ammonium) &#12296;:vacat&#12297; LXXV
Vale &#12296;:vacat&#12297; XXV
V&#770;etio &#12296;:vacat&#12297; CL
Iulium &#12296;:vacat&#12297; LXXV
L(ucium) Plotium &#12296;:vacat&#12297; C
Sex &#12296;:vacat&#12297; L","Servilius 50
 Ammonius 75
 Valerius 25
 Vetius 150
 Julius 75
 Lucius Plotius 100
 Sextus 50",Latin,"ser l, ammonium lxxv, vale xxv, v̂etio cl, iulium lxxv, lucium plotium c, sex l","ser l, ammonium lxxv, farewell xxv, v̂etio cl, july lxxv, lucium plotium c, sex l",,
"&#12296;:stria 15&#12297;
DP&#818;

&#12296;:stria 16&#12297;
A
A

&#12296;:stria 17&#12297;
B",(Individual letters),Latin,", dp̲, , , a, a, , , b",", dp̲, , , a, a, , , b",,
CRVPPAC,(Incomprehensible series of letters),Latin,crvppac,crvppac,,
"&#12296;:stria 7&#12297;
LX

&#12296;:stria 8&#12297;
XII
","60, 12",Latin,", lx, , , xii, ",", lx, , , xii",,
"Auctus
Auctus 
Vectiga","Auctus, Auctus, (uncertain word)",Latin,"auctus, auctus , vectiga","increased, increased, barge",,
"Cerialis 
Euce (:Euche)","Cereal, yes",Latin,"cerialis , euche","Cereal, yes",,
"X
C
I
X","10, 100, 1, 10",Latin,"x, c, i, x","x, c, i, x",,
"solus amare v[---]
multa opus sunt s[---]
quod neìsceìre (:nescire) dare [---]","you see that to love alone, there is much work to be done, which is not knowing how to give.",Latin,"solus amare vides, multa opus sunt sdare, quod nescire dare .","you see that to love alone, there is much work to be done, which is not knowing how to give.",,
VI &#12296;:vacat&#12297; XI &#12296;:vacat&#12297; VII,"6, 11, 7",Latin,vi xi vii,vi xi vii,,
"PMIC+++RMA
VICCCM(?)",(Incomprehensible series of letters),Latin,"pmicrma, vicccm","pmicrma, vicccm",,
"Verus
A(sses) VI S(emis)
QVA
Verus
A(sses) III","Verus, 6 1/2 asses (coins), QUA (?), Verus, 3 asses (coins)",Latin,"verus, asses vi semis, qva, verus, asses iii","verus, asse vi semis, quava, verus, asse iii",,
"M(arcus) Titinius
cinaedus
L&#773;V&#773;","Marcus Titinius is a pervert, 55",Latin,"marcus titinius, cinaedus, l̅v̅","Marcus Titinius, Cinaedus, l̅v̅",,
"Primu (:Primus) 
AV (:ave) vale","Hi, bye, Primus",Latin,"primus , ave vale","first, good bye",,
"Albanius
Comunis (:Communis)
&#12296;:vacat&#12297;
Aurelius
&#7750;oniu",Albanius Communis Aurelius Nonius,Latin,"albanius, communis, , aurelius, ṇoniu","Albanian, common, , Aurelius, ṇoniu",,
