content,apparatus,sourceFindSpot,contentTranslation,caption,writingStyleInEnglish,languageInEnglish,cil,citation,preciseLocation,italianPropertyName,numberOfGraffiti,propertyNumber,insula.shortName,insula.fullName,insula.city.name,insula.city.pleiadesId,englishPropertyName,additionalEntrances,propertyName,descriptionInEnglish,descriptionInLatin
"&#916;&#953;&#974;&#966;&#945;&#957;&#964;&#959;&#1010; (:&#916;&#953;&#972;&#966;&#945;&#957;&#964;&#959;&#1010;)
&#924;&#919;&#924;+++++++
&#12296;:vacat&#12297;
&#7948;&#948;&#969;&#957;&#1010; (:&#7948;&#948;&#969;&#957;&#953;&#1010;)
&#7977;&#955;&#953;&#972;&#948;&#969;&#961;&#959;&#1010;
&#7944;&#803;&#961;&#803;&#964;&#949;&#956;&#8134;&#1010;
&#916;&#953;&#959;&#947;&#941;&#957;&#951;&#1010;
&#914;&#945;&#973;&#948;&#945;&#957;&#959;&#1010;
&#7944;&#960;&#959;&#955;&#974;&#948;&#969;&#961;&#959;&#1010; (:&#7944;&#960;&#959;&#955;&#955;&#972;&#948;&#969;&#961;&#959;&#1010;)
&#916;&#921;&#927;
&#928;&#959;&#955;&#972;&#957;&#953;&#959;&#1010; (:&#7944;&#960;&#959;&#955;&#955;&#974;&#957;&#953;&#959;&#1010;)
&#7960;&#960;&#940;&#947;&#945;&#952;&#959;&#1010;","Textus secundum (2) praeter vv. 4, 6<br>v. 1: &#966; habet formam similem &#968; (1)<br>v. 2: om. (1), &#924; &#919; &#924;\&#921;&#932;&#7438;&#7438;&#7438;&#913; (2); fortasse &#924;&#951;&#956;- pro &#924;&#943;&#956;- in nomine, e.g. &#924;&#943;&#956;&#957;&#949;&#961;&#956;&#959;&#962;, &#924;&#953;&#956;&#957;&#972;&#956;&#945;&#967;&#959;&#962;<br>v. 3: om. (1)<br>v. 4: &#7944;&#948;&#974;&#957;&#953;&#959;&#1010; (1), &#913;&#916;&#937;&#925;&#1017; (2)<br>v. 6: om. (1), &#937;&#932;&#917;&#924;&#919;&#1017; (2)<br>v. 8: om. (1), cfr. Lat. Bardanus<br>v. 11: om. (1), nomen ut apparet e.g. &#916;&#953;&#972;(&#948;&#969;&#961;&#959;&#1010;), &#916;&#953;&#959;(&#957;&#973;&#1010;&#953;&#959;&#1010;)<br>v. 12: &#7944;&#960;&#959;&#955;&#972;&#957;&#953;&#959;&#1010; (1)<br>Fortasse sunt tres inscriptiones diversae (1)<br>Add. p. 466 lectionem ex schedis Wordsworth dat (2)","Pompei (Napoli), Regio VIII.7.21, Teatro Grande",,,Graffito/incised,Greek,2462,"AGP-EDR151912, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR151912&gt; [accessed: 27 Mar 2023]",,Teatro Grande,13,21,VIII.7,Insula VIII.7,Pompeii,433032,Large Theater,27,Teatro Grande,,
Conticuere om(nes),"Textus et mensurae secundum (1), periit (6)<br>v. 1: initio versus Verg. Aen. II.1<br>Locus incertus est - ad meridiem II.1.10 secundum (6), ad meridiem II.1.11 secundum (1). Sed Regio II, Insula I Pompeis in Regionem II, Insula IV mutata est post CIL IV editum erat.<br>De eodem carmine, vide EDR159667, EDR151447, EDR148511, EDR159669, EDR159670, EDR159671, EDR159672, EDR159673, EDR159675, EDR159677, EDR159678, EDR125001, EDR159680, EDR159685, EDR159686","Pompei (Napoli), Regio II.4.10-11, Praedia di Giulia Felice, Facade",,,Graffito/incised,Latin,10096b,"AGP-EDR159681, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR159681&gt; [accessed: 27 Mar 2023]","II.4.10-11, Praedia di Giulia Felice, Facade",,0,0,Unknown,,Pompeii,,,,Not found,,
"&#924;&#917;&#918;&#919;&#920;&#921;&#922;&#923;&#923;&#921;
&#926;&#927;&#928;&#803;[---]","Textus secundum (3).  Contulerunt et emendaverunt Benefiel et Sypniewski (AGP) a. 2019.<br>Mensurae secundum (2)<br>v. 1: omittitur ultima I (1)<br>v. 2: littera ultima I (2)<br>In eadem columna EDR167574, EDR128290, EDR167446, EDR167447, EDR127405, EDR167451, EDR167453, EDR127191, EDR127829, EDR127830, EDR127831, EDR128660, EDR128661, EDR128733, EDR127828, EDR128734, EDR128662, EDR127081, EDR128738, EDR128663, EDR167583, EDR168101","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. XVIII, stria 7",,Greek Alphabet,Graffito/incised,Greek,9281a,"AGP-EDR167581, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167581&gt; [accessed: 27 Mar 2023]","col. XVIII, stria 7",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
"&#913;&#914;&#929;&#916;&#913;&#929;&#913;[+5?+]&#937;&#913;&#929;[+1?+]&#913;&#929;&#924;
&#924;II&#929;&#927;&#913;&#914; · + &#927;&#927;[+2?+]&#924;[+1?+]&#929;&#921;[+2?+]&#915;&#933;+&#937;&#928;&#921;
+&#927;&#932;&#917;&#915;&#913;&#929;&#913;&#921;&#915;&#933;T[+2?+]E&#928;&#917;&#924;&#928;
+&#913;&#925;&#915;&#1017;","Textus secundum (1). Periit (3). Frustra quaesiverunt DiBiasie-Sammons et Helms (AGP) a. 2019.<br>In (2) tantum est mentio huius tituli iam male corrosi et titulus ipse non includitur.<br>v. 1: ad initium, &#7944;&#946;&#961;&#948;&#940;&#961; ut nomen orientale intellegitur (1), sed fortasse dubium est.<br>v. 2: ad initium, &#8125;&#924;&#951;&#961;&#959;&#940;&#946; ut nomen orientale intellegitur (1) sed fortasse dubium est.<br>v. 1-3: hi versus lineis in forma rectanguli complexi sunt ut videtur (1)<br>v. 3-4: fortasse &#964;&#972;&#964;&#949; (?) &#947;&#8048;&#961; &#913;&#7984;&#947;&#973;&#960;[&#964;&#953;&#959;&#953;] &#7956;&#960;&#949;&#956;&#960;[&#959;&#957;] | &#7936;&#957;&#947;&#941;[&#955;&#959;&#965;&#962;]? (1)<br>Supra EDR167835 (2)","Pompei (Napoli), Regio VIII.7.20, Corridoio dei Teatri, muro sud",(incomprehensible series of Greek letters),Series of Greek letters,Graffito/incised,Greek,2444,"AGP-EDR167836, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167836&gt; [accessed: 27 Mar 2023]",,Corridoio dei Teatri,156,20,VIII.7,Insula VIII.7,Pompeii,433032,Theater Corridor,,Corridoio dei Teatri,,
&#7945;r&#960;&#959;&#954;r&#8118;(&#962;) (:&#7945;&#961;&#960;&#959;&#954;&#961;&#8118;&#962;),"Textus secundum (1)<br>v.1: Nomen litteris et Graecis et Latinis scriptum est.<br>Cfr. HARPOCRAS, CIL 04, p. 235 (Index)","Pompei (Napoli), Regio VIII.7.16, Quadriportico del Teatro",,,Graffito/incised,Latin/Greek,2481a,"AGP-EDR151735, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR151735&gt; [accessed: 27 Mar 2023]",,,29,16,VIII.7,Insula VIII.7,Pompeii,433032,,17,Quadriportico del Teatro,,
"&#7944;&#956;&#941;&#961;&#953;&#956;&#957;&#959;&#962; &#7952;&#956;&#957;&#942;&#963;&#952;&#951; &#7937;&#961;&#956;&#959;&#957;&#943;&#945;&#962; &#964;&#8134;&#962; &#949;&#7984;&#948;&#943;&#945;&#962; &#954;&#965;&#961;&#943;&#945;[&#962;] 
&#949;&#960;&#8127; &#7936;&#947;&#945;&#952;&#8183; &#7969;&#962; &#8001; &#7936;&#961;&#953;&#952;&#956;&#972;&#962; &#913;&#923;&#917; &#964;&#959;&#8166; &#954;&#945;&#955;&#959;&#8166; &#8000;&#957;&#972;&#956;&#945;&#964;&#959;&#962;.","Textus secundum (5)<br>Quattuor exempla isopsephiae in Pompeiis sunt. Vide EDR165177, EDR165179, EDR165199, fortasse EDR165330.<br>v. 1: &#922;&#933;&#929;&#921;&#913; ultimam &#931; abstulit signum alienum (1).<br>v. 2: Numerum &#934;&#803;&#924;&#917; (3), ME (4), &#913;&#923;&#917; (1) (2) (5). <br>v. 2: De numero quo nomen indicatur, computatis scilicet numeris qui nominis litteris significatur, cf. 12* (Add. P. 460) et 4861 (1).","Pompei (Napoli), Regio VII.15.11-12, Facade",,,Graffito/incised,Greek,4839,"AGP-EDR165178, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR165178&gt; [accessed: 27 Mar 2023]","VII.15.11-12, Facade",,0,0,Unknown,,Pompeii,,,,Not found,,
l +hb,"Textus secundum (4), mensurae secundum (1)<br>Lingua Safaitica est qua olim nomades Syriaci usi sunt.<br>v. 1: littera secunda quae mutila est, aut &#702; aut &#7779; aut h aut y legenda est (4). Phot. in (3) invertitur.<br>Supra EDR168152. Pone EDR168156 et EDR168166 et inferius.","Pompei (Napoli), Regio VIII.7.20, Corridoio dei Teatri, muro nord",(Written) by (incomprehensible series of letters),Graffito in Safaitic,Graffito/incised,other,,"AGP-EDR168149, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168149&gt; [accessed: 27 Mar 2023]",,Corridoio dei Teatri,156,20,VIII.7,Insula VIII.7,Pompeii,433032,Theater Corridor,,Corridoio dei Teatri,,
((:equus infrenatus ad sin. currens)),"Textus secundum (1), mensurae secundum (2). Contulerunt DiBiasie-Sammons et Helms (AGP) a. 2019.<br>Pone et sub EDR148381<br>Sub EDR167778","Pompei (Napoli), Regio VIII.7.20, Corridoio dei Teatri, muro sud",,Drawing of a horse,Graffito/incised,,---,"AGP-EDR167814, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167814&gt; [accessed: 27 Mar 2023]",,Corridoio dei Teatri,156,20,VIII.7,Insula VIII.7,Pompeii,433032,Theater Corridor,,Corridoio dei Teatri,Bridled horse running to the left,((:Equus infrenatus ad sin. currens))
"Successa vern(a) a(ssibus) V
bellis moribus
((:corona)) A P ((:palma))","Textus secundum (2). <br>v. 1: II scriptum pro littera E. <br>v. 1: alt. 2,2. <br>Supra EDR163403, in quo Successa iterum.","Pompei (Napoli), Regio V.1.15-16, Façade","Successa, with nice manners, ?",Graffito about a slave,Graffito/incised,Latin,4025,"AGP-EDR163402, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR163402&gt; [accessed: 27 Mar 2023]","V.1.15-16, Façade",,0,0,Unknown,,Pompeii,,,,Not found,((:crown)) ((:palm branch)),((:corona)) A P ((:palma))
&#7961;&#961;&#957;&#8134;&#962; (:&#7961;&#961;&#956;&#8134;&#962;),"Textus secundum (2); scriptus sub CIL 04, 02259; mensurae ex apographo apud (1).<br>v. 1: &#7961;&#961;&#957;&#8134;&#962; pro &#7961;&#961;&#956;&#8134;&#962;.","Pompei (Napoli), Lupanare (VII.12.18-20), cella d",,,Graffito/incised,Greek,2261,"AGP-EDR150500, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR150500&gt; [accessed: 27 Mar 2023]",,Lupanare,137,18-20,VII.12,Insula VII.12,Pompeii,433032,,,Lupanare,,
"&#12296;:columna I&#12297;
Lite, es dypundi (:dupundi). 

&#12296;:columna II&#12297;
Lite, 
aeris a(ssis)","Textus et mensurae secundum (1)<br>v. 1: Y scriptum pro prima littera U <br>v. 1-3: II scripta pro litteris E<br>v. 2-3: leguntur (1): Lite, (immo es) / aeris a(ssis)","Pompei (Napoli), Regio II.4.6, Praedia of Julia Felix",,,Graffito/incised,Latin,10119,"AGP-EDR149048, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR149048&gt; [accessed: 27 Mar 2023]",,Villa di Giulia Felice,26,6,II.4,Insula II.4,Pompeii,433032,Praedia of Julia Felix,"2-4,8-12",Praedia di Giulia Felice,,
((:carina navis et fortasse minor navis supra)),"Textus secundum (3); de mensuris, lat. secundum (2), alt. secundum (3). Contulerunt DiBiasie-Sammons et Helms (AGP) a. 2019.<br>Titulus descriptus sic: barca a remi (1).<br>Hic titulus, olim lat. 9,0 cm (2), iam a. 2019 mutilus et solum 7,6 (3).<br>Pone EDR168126<br>Sub EDR167812<br>Supra EDR167840","Pompei (Napoli) Regio VIII.7.20, Corridoio dei Teatri, muro sud",,Drawing of a boat (or two?),Graffito/incised,,---,"AGP-EDR168136, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168136&gt; [accessed: 27 Mar 2023]",,Corridoio dei Teatri,156,20,VIII.7,Insula VIII.7,Pompeii,433032,Theater Corridor,,Corridoio dei Teatri,A ship's keel and perhaps a smaller boat above,((:carina navis et fortasse minor navis supra))
l +{k}t,"Textus et notae criticae secundum (3), mensurae secundum (1)<br>Lingua Safaitica est qua olim nomades Syriaci usi sunt.<br>Ante EDR168152 et inferius.","Pompei (Napoli), Regio VIII.7.20, Corridoio dei Teatri, muro nord",(Written) by (incomprehensible series of letters),Graffito in Safaitic,Graffito/incised,other,,"AGP-EDR168154, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168154&gt; [accessed: 27 Mar 2023]",,Corridoio dei Teatri,156,20,VIII.7,Insula VIII.7,Pompeii,433032,Theater Corridor,,Corridoio dei Teatri,,
"Froto (:Fronto) Planì
&#7735;ing&#803;it cun=
&#7751;um","Textus secundum (1); mensurae ex apographo apud (1).<br>v. 1: Lineolae inter P et O superius positae (L?) videntur esse fortuitae (1); Froto pro Fronto (1)-(4); Planì casus genetivus ex Planus (1 apud indices, p. 236); Planì pro Plane i.e. *&#928;&#955;&#940;&#957;&#8131; vel ex *Planis casus dativus (3);  plane (simpliciter, non Planì) adverbium (4).<br>Status huius tituli incertus est: nulla enim imago exstat in A. Varone, Titulorum graphio exaratorum qui in C.I.L. vol. IV collecti sunt imagines, Roma 2012, vol. II.","Pompei (Napoli) VII.12.18-20, Lupanare, nella parete sinistra dello vestibolo",,,Graffito/incised,Latin,2257,"AGP-EDR150370, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR150370&gt; [accessed: 27 Mar 2023]",,Lupanare,137,18-20,VII.12,Insula VII.12,Pompeii,433032,,,Lupanare,,
I&#818;NT&#818;E&#818;S,"Textus secundum et mensurae secundum (2).  Contulerunt Sypniewski et Benefiel (AGP); vestigia in tectorio corroso adhuc a. 2019 extant. <br>v. 1: INTES(tatus, vel -o) (2) <br>In eadem columna EDR167971, EDR167972, EDR167974, EDR167975, EDR167976, EDR160168, EDR147882","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXXXV, stria 17",(series of letters),Graffito,Graffito/incised,Latin,8702,"AGP-EDR167986, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167986&gt; [accessed: 27 Mar 2023]","col. LXXXV, stria 17",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
&#12296;:textus non legitur&#12297;,"Textus secundum (2). Contulerunt Sypniewski et Benefiel (AGP) a. 2019 et non invenerunt. Tectorio nunc abraso, periit (4).  <br>v. 1: apographum apud (2) inversum est. Cf. apographa apud (1),(3).<br>Infra EDR168366","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. XCVII, stria 15",(Incomprehensible series of characters),Graffito,Graffito/incised,Latin,8748b,"AGP-EDR168367, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168367&gt; [accessed: 27 Mar 2023]","col. XCVII, stria 15",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
"((:quattuor naves instructae velis, malis, et gubernaculis))","Textus secundum (3), mensurae secundum (4). Contulerunt DiBiasie-Sammons et Helms (AGP) a. 2019.<br>Ante et sub EDR167844<br>Pone et sub EDR167811, EDR168134","Pompei (Napoli), Regio VIII.7.20, Corridoio dei Teatri, muro sud",,"Drawing of four boats with sails, masts, and rudders",Graffito/incised,,---,"AGP-EDR168130, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168130&gt; [accessed: 27 Mar 2023]",,Corridoio dei Teatri,156,20,VIII.7,Insula VIII.7,Pompeii,433032,Theater Corridor,,Corridoio dei Teatri,"Four boats outfitted with sails, masts, and rudders","((:quattuor naves instructae velis, malis, et gubernaculis))"
((:navis)),"Textus secundum (3), mensurae secundum (4). Contulerunt DiBiasie-Sammons et Helms (AGP) a. 2019.<br>Ante EDR167838<br>Pone EDR167829, EDR168129<br>Supra EDR168127, EDR167832","Pompei (Napoli), Regio VIII.7.20, Corridoio dei Teatri, muro sud",,Drawing of a boat,Graffito/incised,,---,"AGP-EDR167856, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167856&gt; [accessed: 27 Mar 2023]",,Corridoio dei Teatri,156,20,VIII.7,Insula VIII.7,Pompeii,433032,Theater Corridor,,Corridoio dei Teatri,Boat,((:navis))
"&#12296;:in tabella ansata&#12297;
Persi","Textus secundum (2). Contulerunt Benefiel, Sypniewski et Zimmermann Damer (AGP) a. 2019.<br>v. 1: Persi(?) (2)<br>Eadem altitudine EDR168105 ((:caput hominis)) in proxima stria, quocum hic titulus editus est apud (1).<br>In eadem columna EDR167507 et EDR168104.","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. CXVII, striae 4-5",Of Persius(?) (following the conventions of bronze stamps with names in the genitive),Beginning of a name,Graffito/incised,Latin,8804b,"AGP-EDR167506, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167506&gt; [accessed: 27 Mar 2023]","col. CXVII, striae 4-5",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
"Arma meis atsueta (:adsueta)
umeris tibi debita
ponam, si mea confir=
mas prospera vota
Venus. Syntrophus 
&#12296;:vacat&#12297; auget.","Textus secundum (5)-(6), aliter (1)-(4); periit (7). Contulerunt Sypniewski et Benefiel (AGP) ad imaginem apud (7). Tectorium nimium a. 2019 abrasum est.<br>v. 1: ANIMA EST (1)-(4)<br>v. 1: ATSUETA pro ADSVETA<br>v. 2: CAPERE SIBI DEBITA (1)-(4)<br>v. 3-4: DONARE. SI MOREM FIR/MAS (1)-(4)<br>v. 5: SYNTROPHVS ut epithetum Veneris (U pro O permutata = &#963;&#973;&#957;&#964;&#961;&#959;&#966;&#959;&#962;) (2)(4); aliter (5), quo ut nomen scriptoris legitur, et accusativus post AVGET caret. <br>vv. 5-6: SYNTROPHVS / AVGET legitur ut postscriptum a Syntropho scriptum (6).<br>Infra EDR168020 <br>In eadem columna EDR167990, EDR167991, EDR168021, EDR168023, EDR168019, EDR168042<br>","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXXXVIII, stria 17","I will put (down) the weapons accustomed to my shoulders, (which are) owed to you, if you, favorable Venus, answer my prayers. --Syntrophus enhances/augments (this prayer)",Poetic graffito,Graffito/incised,Latin,8711b,"AGP-EDR168043, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168043&gt; [accessed: 27 Mar 2023]","col. LXXXVIII, stria 17",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
"[Noct]ibus pervig[ilans totis ego propter a]morem
[se]i (:si) detur dei&#7807;[am] (:divam) [posse videre meam.]
[congla]cio s[ub sideribus, sed pectus] in aestost 
[---] huc [---]t","Textus secundum (5), aliter (1)-(4); scriptus infra CIL 04, 04967; in eadem manu sunt CIL 04, 04966-04973 (1); mensurae ex apographo apud (1). <br>v. 1: ]bus per vic[ (1)-(4)<br>v. 2: ]detur dei (1)-(4)<br>v. 3: ]o[---]cios (2); ]ocios (1); ]intaestost (?) et versui 2 attribuit (2); extrema non recte lecta, in triviost sim. postulatur (3); ]n in istost(?) (1)<br>v. 4: iuc (2)-(3); t versui 3 attribuit (2); t incerta est (1)","Pompei (Napoli), VIII.7.19, Teatro Piccolo",,,Graffito/incised,Latin,4968,"AGP-EDR143925, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR143925&gt; [accessed: 27 Mar 2023]",,Teatro Piccolo,8,19,VIII.7,Insula VIII.7,Pompeii,433032,Small Theater,18,Teatro Piccolo,,
((:navis)),"Textus secundum (2)<br>Prope EDR148695, EDR148418, EDR148874, EDR148875, EDR148876, EDR148877, EDR148878, EDR148879, EDR148880, EDR148881","Pompei (Napoli), Regio II.4.6, Praedia of Julia Felix",,,Graffito/incised,,10116,"AGP-EDR148882, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR148882&gt; [accessed: 27 Mar 2023]",,Villa di Giulia Felice,26,6,II.4,Insula II.4,Pompeii,433032,Praedia of Julia Felix,"2-4,8-12",Praedia di Giulia Felice,,((:navis))
A(uli) Iuni,"Textus et mensurae secundum (2). Contulerunt Sypniewski et Benefiel (AGP) a. 2019. <br>Prima littera I oblique scripta est.<br>Supra EDR167615 (avis et, infra, alter avis)<br>In eadem columna EDR128284 (stria 13) et EDR127849 (stria 17)","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. IV, stria 16",Of Aulus Iunius (?),Graffito naming Aulus Iunius,Graffito/incised,Latin,8527,"AGP-EDR128285, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128285&gt; [accessed: 27 Mar 2023]","col. IV, stria 16",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
((:caput hominis ad sin.)),"Textus secundum (1). Contulerunt et non invenerunt E. Zimmermann Damer et R. Benefiel a. 2019 (AGP).<br>In eadem columna EDR127158, EDR128583, EDR128585, EDR128582, EDR167487, EDR127218, EDR167489, EDR167491, EDR167492","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. XXVI, stria 14",,Drawing of a face,Graffito/incised,,,"AGP-EDR167490, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167490&gt; [accessed: 27 Mar 2023]","col. XXVI, stria 14",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,Head of a person facing left,((:caput hominis ad sin.))
((:caput viri ad sin.)),"Textus secundum (4), mensurae secundum (5). Contulerunt DiBiasie-Sammons et Helms (AGP) a. 2019.<br>Titulus descriptus sic: figura rincagnata, probabilmente in luogo del soprannome Silo (1), hominis facies (2)<br>Ante EDR166493<br>Pone EDR166749, EDR166750<br>Sub EDR161911<br>Supra EDR166493, EDR166750","Pompei (Napoli), Regio VIII.7.20, Corridoio dei Teatri, muro nord",,Drawing of a face,Graffito/incised,,2419,"AGP-EDR167665, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167665&gt; [accessed: 27 Mar 2023]",,Corridoio dei Teatri,156,20,VIII.7,Insula VIII.7,Pompeii,433032,Theater Corridor,,Corridoio dei Teatri,Head of a man facing left,((:caput viri ad sin.))
"((:vir petasatus et alter baculum tenens (=Mercurius?), animal (taurus?) eos prosequens, et duae figurae (?) procul))","Textus et mensurae secundum (3). Contulerunt DiBiasie-Sammons et Helms (AGP) a. 2019.<br>v. 1: Titulus descriptus sic: profili umani (1); Szene aus einer Mythentravestie: Figur läuft nach links, Hermes (?) (2).<br>Ante et sub EDR167863<br>Pone EDR167810<br>Supra EDR167859","Pompei (Napoli), Regio VIII.7.20, Corriodoio dei Teatri, muro sud",,"Drawing featuring several figures and an animal, possible theatrical scene",Graffito/incised,,---,"AGP-EDR167778, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167778&gt; [accessed: 27 Mar 2023]",,Corridoio dei Teatri,156,20,VIII.7,Insula VIII.7,Pompeii,433032,Theater Corridor,,Corridoio dei Teatri,"A male figure wearing a hat, another holding a staff (=Mercury?), an animal (bull?) chasing them, and two figures in the background","((:vir petasatus et alter vir baculum tenens (=Mercurius?), animal (taurus?) eos prosequens, et duae figurae procul))"
((:figura hominis)),"Textus secundum (2), periit (3), sed a. 2019 reinventus est (4). Contulerunt DiBiasie-Sammons et Helms (AGP) a. 2019.<br>v. 1: titulus descriptus sic: laufende Figur (3), sed crura fixa videntur (4).<br>Ante EDR161769<br>Pone et super EDR167834<br>Hic titulus in EDR161789 scriptus est.","Pompei (Napoli), Regio VIII.7.20, Corridoio dei Teatri, muro nord",,Drawing of a person,Graffito/incised,,2416,"AGP-EDR167693, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167693&gt; [accessed: 27 Mar 2023]",,Corridoio dei Teatri,156,20,VIII.7,Insula VIII.7,Pompeii,433032,Theater Corridor,,Corridoio dei Teatri,Human figure,((:figura hominis))
